sampleID,species,species
T17-2,Triticum,Triticum
T29-1,Triticum,Triticum
T32-1,Triticum,Triticum
T33-3,Triticum,Triticum
T35-5,Triticum,Triticum
T43-3,Triticum,Triticum
T51-1,Triticum,Triticum
T57-9,Triticum,Triticum
T58-1,Triticum,Triticum
T6-3,Triticum,Triticum
U209,Oryza,Oryza
U247,Festuca,Festuca
U248,Lolium,Lolium1
U249,Panicum,Panicum
U250,Eleusine,Eleusine1
U251,Elesuine,Eleusine1
U252,Lolium,Lolium
U254,Lolium,Lolium
U262,Lolium,Lolium
U265,Oryza,Oryza
U268,Oryza,Oryza
U269,Eleusine,Eleusine1
U270,Eleusine,Eleusine1
U276,Luziola,Urochloa
U287,Oryza,Oryza
U300,Leersia,Luziola
U306,Oryza,Oryza
UFVPY10,Panicum,Panicum
UFVPY104,Eleusine,Eleusine1
UFVPY107,Urochloa,Urochloa
UFVPY108,Urochloa,Urochloa
UFVPY109,Urochloa,Urochloa
UFVPY11,Panicum,Panicum
UFVPY110,Urochloa,Urochloa
UFVPY111,Digitaria,Digitaria
UFVPY113,Eleusine,Eleusine1
UFVPY117,Digitaria,Digitaria
UFVPY118,Urochloa,Urochloa
UFVPY119,Urochloa,Urochloa
UFVPY12,Eleusine,Eleusine1
UFVPY123,Eleusine,Eleusine1
UFVPY126,Panicum,Panicum
UFVPY127,Melinis,Melinis
UFVPY135,Urochloa,Urochloa
UFVPY144,Eleusine,Eleusine1
UFVPY166,Urochloa,Urochloa
UFVPY170,Eleusine,Eleusine1
UFVPY170,Eleusine,Eleusine1
UFVPY171,Urochloa,Urochloa
UFVPY175,Urochloa,Urochloa
UFVPY18,Eleusine,Eleusine1
UFVPY183,Eleusine,Eleusine3
UFVPY196,Urochloa,Urochloa
UFVPY197,Urochloa,Urochloa
UFVPY198,Urochloa,Urochloa
UFVPY199,Urochloa,Urochloa
UFVPY2,Digitaria,Digitaria
UFVPY20,Panicum,Panicum
UFVPY200,Urochloa,Urochloa
UFVPY202,Urochloa,Urochloa
UFVPY203,Urochloa,Urochloa
UFVPY204,Urochloa,Urochloa
UFVPY205,Urochloa,Urochloa
UFVPY206,Urochloa,Urochloa
UFVPY207,Urochloa,Urochloa
UFVPY209,Urochloa,Urochloa
UFVPY21,Urochloa,Urochloa
UFVPY210,Panicum,Panicum
UFVPY211,Panicum,Panicum
UFVPY212,Panicum,Panicum
UFVPY215,Urochloa,Urochloa
UFVPY230,Melinis,Melinis
UFVPY232,Urochloa,Urochloa
UFVPY236,Triticum,Triticum
UFVPY242,Melinis,Melinis
UFVPY244,Urochloa,Urochloa
UFVPY246,Urochloa,Urochloa
UFVPY247,Hordeum,Lolium1
UFVPY248,Hordeum,Lolium1
UFVPY249,Hordeum,Lolium1
UFVPY25,Digitaria,Digitaria
UFVPY254,Triticum,Triticum
UFVPY259,Triticum,Triticum
UFVPY261,Triticum,Triticum
UFVPY269,Triticum,Triticum
UFVPY270,Triticum,Triticum
UFVPY271,Triticum,Triticum
UFVPY273,Triticum,Triticum
UFVPY274,Triticum,Triticum
UFVPY275,Triticum,Triticum
UFVPY276,Triticum,Triticum
UFVPY279,Triticum,Triticum
UFVPY283,Triticum,Triticum
UFVPY289,Triticum,Triticum
UFVPY296,Triticum,Triticum
UFVPY304,Triticum,Triticum
UFVPY311,Triticum,Triticum
UFVPY312,Triticum,Triticum
UFVPY318,Triticum,Triticum
UFVPY320,Triticum,Triticum
UFVPY330,Triticum,Triticum
UFVPY338,Triticum,Triticum
UFVPY352,Triticum,Triticum
UFVPY354,Triticum,Triticum
UFVPY360,Triticum,Triticum
UFVPY363,Triticum,Triticum
UFVPY364,Triticum,Triticum
UFVPY365,Triticum,Triticum
UFVPY366,Triticum,Triticum
UFVPY369,Triticum,Triticum
UFVPY372,Triticum,Triticum
UFVPY373,Triticum,Triticum
UFVPY375,Triticum,Triticum
UFVPY39,Eleusine,Eleusine1
UFVPY392,Triticum,Triticum
UFVPY398,Triticum,Triticum
UFVPY400,Triticum,Triticum
UFVPY402,Triticum,Triticum
UFVPY410,Triticum,Triticum
UFVPY412,Triticum,Triticum
UFVPY416,Triticum,Triticum
UFVPY419,Triticum,Triticum
UFVPY42,Echinochloa,Echinochloa
UFVPY423,Triticum,Triticum
UFVPY425,Triticum,Triticum
UFVPY427,Triticum,Triticum
UFVPY434,Triticum,Triticum
UFVPY438,Triticum,Triticum
UFVPY44,Digitaria,Digitaria
UFVPY446,Triticum,Triticum
UFVPY45,Digitaria,Digitaria
UFVPY453,Triticum,Triticum
UFVPY462,Triticum,Triticum
UFVPY463,Urochloa,Urochloa
UFVPY464,Triticum,Triticum
UFVPY465,Triticum,Triticum
UFVPY470,Triticum,Triticum
UFVPY471,Triticum,Triticum
UFVPY472,Triticum,Triticum
UFVPY478,Triticum,Triticum
UFVPY479,Triticum,Triticum
UFVPY490,Pennisetum,Pennisetum
UFVPY492,Triticum,Triticum
UFVPY503,Triticum,Triticum
UFVPY506,Triticum,Triticum
UFVPY510,Triticum,Triticum
UFVPY52,Urochloa,Urochloa
UFVPY528,Triticum,Triticum
UFVPY545,Urochloa,Urochloa
UFVPY577,Urochloa,Urochloa
UFVPY578,Melinis,Melinis
UFVPY582,Urochloa,Urochloa
UFVPY583,Melinis,Melinis
UFVPY584,Urochloa,Urochloa
UFVPY593,Triticum,Triticum
UFVPY599,Triticum,Triticum
UFVPY604,Triticum,Triticum
UFVPY61,Digitaria,Digitaria
UFVPY612,Triticum,Triticum
UFVPY652,Triticum,Triticum
UFVPY653,Urochloa,Urochloa
UFVPY654,Urochloa,Urochloa
UFVPY655,Urochloa,Urochloa
UFVPY656,Urochloa,Urochloa
UFVPY657,Urochloa,Urochloa
UFVPY661,Triticum,Triticum
UFVPY662,Panicum,Panicum
UFVPY67,Eleusine,Eleusine1
UFVPY672,Urochloa,Urochloa
UFVPY675,Urochloa,Urochloa
UFVPY676,Urochloa,Urochloa
UFVPY677,Urochloa,Urochloa
UFVPY678,Melinis,Melinis
UFVPY69,Digitaria,Digitaria
UFVPY698,Triticum,Triticum
UFVPY7,Panicum,Panicum
UFVPY701,Urochloa,Urochloa
UFVPY702,Melinis,Melinis
UFVPY727,Triticum,Triticum
UFVPY728,Triticum,Triticum
UFVPY730,Triticum,Triticum
UFVPY731,Triticum,Triticum
UFVPY733,Triticum,Triticum
UFVPY741,Triticum,Triticum
UFVPY754,Triticum,Triticum
UFVPY755,Triticum,Triticum
UFVPY756,Triticum,Triticum
UFVPY757,Triticum,Triticum
UFVPY758,Urochloa,Urochloa
UFVPY759,Triticum,Triticum
UFVPY760,Triticum,Triticum
UFVPY77,Digitaria,Digitaria
UFVPY787,Triticum,Triticum
UFVPY793,Triticum,Triticum
UFVPY8,Panicum,Panicum
UFVPY801,Triticum,Triticum
UFVPY811,Triticum,Triticum
UFVPY813,Triticum,Triticum
UFVPY815,Triticum,Triticum
UFVPY833,Triticum,Triticum
UFVPY838,Triticum,Triticum
UFVPY846,Triticum,Triticum
UFVPY85,Eleusine,Eleusine1
UFVPY851,Triticum,Triticum
UFVPY88,Urochloa,Urochloa
UFVPY888,Triticum,Triticum
UFVPY889,Triticum,Triticum
UFVPY893,Panicum,Panicum
UFVPY91,Digitaria,Digitaria
UFVPY914,Triticum,Triticum
UFVPY933,Triticum,Triticum
UFVPY935,Triticum,Triticum
UFVPY936,Triticum,Triticum
UFVPY96,Digitaria,Digitaria
